"Mitsubishi HG-SR5024- Servomotor HG Series, Power 5 kW; Torque 23.9 Nm, Max. Torque 71.6 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR5024,HG-SR,HG-SR5024,188800,94400,Piece,Each,1,"Mitsubishi HG-SR5024- Servomotor HG Series, Power 5 kW; Torque 23.9 Nm, Max. Torque 71.6 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,5 kW,Moment of inertia J [x10-4 kg m2],99.7,Peak Running Range (Nm),71.6,Rated Torque (Nm),23.9,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,228.9mm,257.5mm,20kg,1,1-2 Days,
"Mitsubishi HG-SR7024- Servomotor HG Series, Power 7 kW; Torque 33.4 Nm, Max. Torque 100 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR7024,HG-SR,HG-SR7024,214950,107475,Piece,Each,1,"Mitsubishi HG-SR7024- Servomotor HG Series, Power 7 kW; Torque 33.4 Nm, Max. Torque 100 Nm , 400V",,,,,,Rated Voltage,400 V AC,Protective Structure,IP67,Rated Output Capacity,7 kW,Moment of inertia J [x10-4 kg m2],151,Peak Running Range (Nm),100,Rated Torque (Nm),33.4,Rated Speed (r/min),2000,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717136529-Product-Screenshot 2024-05-31 115200.png,,85012000,18%,,,,,176mm,237.1mm,297.5mm,27kg,1,1-2 Days,
"Mitsubishi HG-JR534- Servomotor HG Series, Power 500 W; Torque 1.59 Nm, Max. Torque 4.77 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR534,HG-JR,HG-JR534,89600,44800,Piece,Each,1,"Mitsubishi HG-JR534- Servomotor HG Series, Power 500 W; Torque 1.59 Nm, Max. Torque 4.77 Nm , 400V",,,,,,Rated Voltage,401 V AC,Protective Structure,IP67,Rated Output Capacity,0.5 kW,Moment of inertia J [x10-4 kg m2],1.52,Peak Running Range (Nm),4.8,Rated Torque (Nm),1.6,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717140870-Product-Screenshot 2024-05-31 130404.png,,85012000,18%,,,,,90mm,138.8mm,167.5mm,3kg,1,1-2 Days,
"Mitsubishi HG-JR734- Servomotor HG Series, Power 750 W; Torque 2.39 Nm, Max. Torque 7.16 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR734,HG-JR,HG-JR734,99150,49575,Piece,Each,1,"Mitsubishi HG-JR734- Servomotor HG Series, Power 750 W; Torque 2.39 Nm, Max. Torque 7.16 Nm , 400V",,,,,,Rated Voltage,402 V AC,Protective Structure,IP67,Rated Output Capacity,0.75 kW,Moment of inertia J [x10-4 kg m2],2.09,Peak Running Range (Nm),7.2,Rated Torque (Nm),2.4,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717140870-Product-Screenshot 2024-05-31 130404.png,,85012000,18%,,,,,90mm,138.8mm,185.5mm,3.7kg,1,1-2 Days,
"Mitsubishi HG-JR1034- Servomotor HG Series, Power 1 kW; Torque 3.18 Nm, Max. Torque 9.55 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR1034,HG-JR,HG-JR1034,108700,54350,Piece,Each,1,"Mitsubishi HG-JR1034- Servomotor HG Series, Power 1 kW; Torque 3.18 Nm, Max. Torque 9.55 Nm , 400V",,,,,,Rated Voltage,403 V AC,Protective Structure,IP67,Rated Output Capacity,1 kW,Moment of inertia J [x10-4 kg m2],2.65,Peak Running Range (Nm),9.6,Rated Torque (Nm),3.2,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717140870-Product-Screenshot 2024-05-31 130404.png,,85012000,18%,,,,,90mm,138.8mm,203.5mm,4.5kg,1,1-2 Days,
"Mitsubishi HG-JR1534- Servomotor HG Series, Power 1,5 kW; Torque 4.77 Nm, Max. Torque 14.3 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR1534,HG-JR,HG-JR1534,134200,67100,Piece,Each,1,"Mitsubishi HG-JR1534- Servomotor HG Series, Power 1,5 kW; Torque 4.77 Nm, Max. Torque 14.3 Nm , 400V",,,,,,Rated Voltage,404 V AC,Protective Structure,IP67,Rated Output Capacity,1.5 kW,Moment of inertia J [x10-4 kg m2],3.79,Peak Running Range (Nm),14.3,Rated Torque (Nm),4.8,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717144193-Product-Screenshot 2024-05-31 135945.png,,85012000,18%,,,,,90mm,138.8mm,239.5mm,5.9kg,1,1-2 Days,
"Mitsubishi HG-JR2034- Servomotor HG Series, Power 2 kW; Torque 6.37 Nm, Max. Torque 19.1 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR2034,HG-JR,HG-JR2034,153450,76725,Piece,Each,1,"Mitsubishi HG-JR2034- Servomotor HG Series, Power 2 kW; Torque 6.37 Nm, Max. Torque 19.1 Nm , 400V",,,,,,Rated Voltage,405 V AC,Protective Structure,IP67,Rated Output Capacity,2 kW,Moment of inertia J [x10-4 kg m2],4.92,Peak Running Range (Nm),19.1,Rated Torque (Nm),6.4,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717144356-Product-Screenshot 2024-05-31 140228.png,,85012000,18%,,,,,90mm,138.8mm,275.5mm,7.5kg,1,1-2 Days,
"Mitsubishi HG-JR3534- Servomotor HG Series, Power 3.5 kW; Torque 10.5 Nm, Max. Torque 32 Nm, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR3534,HG-JR,HG-JR3534,191750,95875,Piece,Each,1,"Mitsubishi HG-JR3534- Servomotor HG Series, Power 3.5 kW; Torque 10.5 Nm, Max. Torque 32 Nm, 400V",,,,,,Rated Voltage,406 V AC,Protective Structure,IP67,Rated Output Capacity,3.3 kW,Moment of inertia J [x10-4 kg m2],13.2,Peak Running Range (Nm),32,Rated Torque (Nm),10.5,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717144356-Product-Screenshot 2024-05-31 140228.png,,85012000,18%,,,,,130mm,179.8mm,268mm,13kg,1,1-2 Days,
"Mitsubishi HG-JR5034- Servomotor HG Series, Power 5 kW; Torque 15.9 Nm, Max. Torque 47.7 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR5034,HG-JR,HG-JR5034,295200,147600,Piece,Each,1,"Mitsubishi HG-JR5034- Servomotor HG Series, Power 5 kW; Torque 15.9 Nm, Max. Torque 47.7 Nm , 400V",,,,,,Rated Voltage,407 V AC,Protective Structure,IP67,Rated Output Capacity,5 kW,Moment of inertia J [x10-4 kg m2],19,Peak Running Range (Nm),47.7,Rated Torque (Nm),15.9,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),6000,Brake,No,,,,,1717144356-Product-Screenshot 2024-05-31 140228.png,,85012000,18%,,,,,130mm,179.8mm,322mm,18kg,1,1-2 Days,
"Mitsubishi HG-JR7034- Servomotor HG Series, Power 7 kW; Torque 22.3 Nm, Max. Torque 66.8 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR7034,HG-JR,HG-JR7034,336150,168075,Piece,Each,1,"Mitsubishi HG-JR7034- Servomotor HG Series, Power 7 kW; Torque 22.3 Nm, Max. Torque 66.8 Nm , 400V",,,,,,Rated Voltage,408 V AC,Protective Structure,IP67,Rated Output Capacity,7 kW,Moment of inertia J [x10-4 kg m2],43.3,Peak Running Range (Nm),66.8,Rated Torque (Nm),22.3,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),5000,Brake,No,,,,,1717144878-Product-Screenshot 2024-05-31 141109.png,,85012000,18%,,,,,176mm,251.3mm,342.5mm,29kg,1,1-2 Days,
"Mitsubishi HG-JR9034- Servomotor HG Series, Power 9 kW; Torque 28.6 Nm, Max. Torque 85.8 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR9034,HG-JR,HG-JR9034,437050,218525,Piece,Each,1,"Mitsubishi HG-JR9034- Servomotor HG Series, Power 9 kW; Torque 28.6 Nm, Max. Torque 85.8 Nm , 400V",,,,,,Rated Voltage,409 V AC,Protective Structure,IP67,Rated Output Capacity,9 kW,Moment of inertia J [x10-4 kg m2],55.8,Peak Running Range (Nm),85.8,Rated Torque (Nm),28.6,Rated Speed (r/min),3000,Maximum Rotation Speed (r/min),5000,Brake,No,,,,,1717145097-Product-Screenshot 2024-05-31 141446.png,,85012000,18%,,,,,176mm,251.3mm,382.5mm,36kg,1,1-2 Days,
"Mitsubishi HG-JR11K1M4- Servomotor HG Series, Power 11 kW; Torque 70 Nm, Max. Torque 210 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR11K1M4,HG-JR,HG-JR11K1M4,542250,271125,Piece,Each,1,"Mitsubishi HG-JR11K1M4- Servomotor HG Series, Power 11 kW; Torque 70 Nm, Max. Torque 210 Nm , 400V",,,,,,Rated Voltage,410 V AC,Protective Structure,IP67,Rated Output Capacity,11 kW,Moment of inertia J [x10-4 kg m2],220,Peak Running Range (Nm),210,Rated Torque (Nm),70,Rated Speed (r/min),1500,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717145174-Product-Screenshot 2024-05-31 141606.png,,85012000,18%,,,,,220mm,281.1mm,455.5mm,62kg,1,1-2 Days,
"Mitsubishi HG-JR15K1M4- Servomotor HG Series, Power 15 kW; Torque 95.5 Nm, Max. Torque 286 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR15K1M4,HG-JR,HG-JR15K1M4,687050,343525,Piece,Each,1,"Mitsubishi HG-JR15K1M4- Servomotor HG Series, Power 15 kW; Torque 95.5 Nm, Max. Torque 286 Nm , 400V",,,,,,Rated Voltage,411 V AC,Protective Structure,IP67,Rated Output Capacity,15 kW,Moment of inertia J [x10-4 kg m2],315,Peak Running Range (Nm),286,Rated Torque (Nm),95.5,Rated Speed (r/min),1500,Maximum Rotation Speed (r/min),3000,Brake,No,,,,,1717145239-Product-Screenshot 2024-05-31 141708.png,,85012000,18%,,,,,220mm,281.1mm,555.5mm,86kg,1,1-2 Days,
"Mitsubishi HG-JR22K1M4- Servomotor HG Series, Power 22 kW; Torque 140 Nm, Max. Torque 420 Nm , 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-JR22K1M4,HG-JR,HG-JR22K1M4,1148000,574000,Piece,Each,1,"Mitsubishi HG-JR22K1M4- Servomotor HG Series, Power 22 kW; Torque 140 Nm, Max. Torque 420 Nm , 400V",,,,,,Rated Voltage,412 V AC,Protective Structure,IP67,Rated Output Capacity,22 kW,Moment of inertia J [x10-4 kg m2],489,Peak Running Range (Nm),420,Rated Torque (Nm),140,Rated Speed (r/min),1500,Maximum Rotation Speed (r/min),2500,Brake,No,,,,,1717145349-Product-Screenshot 2024-05-31 141900.png,,85012000,18%,,,,,250mm,345mm,616mm,120kg,1,1-2 Days,
"Mitsubishi HG-SR524B- Servomotor HG Series, Power 500 W; Torque 2.4 Nm, Max. Torque 7.2 Nm, Brake",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR524B,HG-SR,HG-SR524B,85800,42900,Piece,Each,1,"Mitsubishi HG-SR524B- Servomotor HG Series, Power 500 W; Torque 2.4 Nm, Max. Torque 7.2 Nm, Brake",,,,,,Power Supply,200 V,Power facility capacity 1[kVA],1,Rated Output Capacity,0.5 kW,Rated torque [Nm],2.4,Peak Running Range (Nm),7.2,Rated Rotation Speed (rpm),2000 RPM,Maximum Rotation Speed (rpm),3000 RPM,Rated Current,1.5 A,Maximum current [A],4.5,Regeneration braking frequency [1/min],46,,,1717145440-Product-Screenshot 2024-05-31 142031.png,,85012000,18%,,,,,130mm,177.5mm,208mm,6.7kg,1,1-2 Days,
"Mitsubishi HG-SR1024B- Servomotor HG Series, Power 1 kW; Torque 4.8 Nm, Max. 14.3 Nm, Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR1024B,HG-SR,HG-SR1024B,98100,49050,Piece,Each,1,"Mitsubishi HG-SR1024B- Servomotor HG Series, Power 1 kW; Torque 4.8 Nm, Max. 14.3 Nm, Brake, 400V",,,,,,Power Supply,201 V,Power facility capacity 1[kVA],1.7,Rated Output Capacity,1 kW,Rated torque [Nm],4.8,Peak Running Range (Nm),14.3,Rated Rotation Speed (rpm),2001 RPM,Maximum Rotation Speed (rpm),3000 RPM,Rated Current,2.8 A,Maximum current [A],8.9,Regeneration braking frequency [1/min],29,,,1717145984-Product-Screenshot 2024-05-31 142933.png,,85012000,18%,,,,,130mm,177.5mm,222mm,8.2kg,1,1-2 Days,
"Mitsubishi HG-SR1524B- Servomotor HG Series, Power 1.5 kW; Torque 7.2 Nm, Max. 21.5 Nm, Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR1524B,HG-SR,HG-SR1524B,94000,47000,Piece,Each,1,"Mitsubishi HG-SR1524B- Servomotor HG Series, Power 1.5 kW; Torque 7.2 Nm, Max. 21.5 Nm, Brake, 400V",,,,,,Power Supply,202 V,Power facility capacity 1[kVA],2.5,Rated Output Capacity,1.5 kW,Rated torque [Nm],7.2,Peak Running Range (Nm),21.5,Rated Rotation Speed (rpm),2002 RPM,Maximum Rotation Speed (rpm),3000 RPM,Rated Current,4.7 A,Maximum current [A],17,Regeneration braking frequency [1/min],139,,,1717147649-Product-Screenshot 2024-05-31 145720.png,,85012000,18%,,,,,130mm,177.5mm,236mm,9.3kg,1,1-2 Days,
"Mitsubishi HG-SR2024B- Servomotor HG Series, Power 2 kW; Torque 9.5 Nm, Max. 28.6 Nm, Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR2024B,HG-SR,HG-SR2024B,130850,65425,Piece,Each,1,"Mitsubishi HG-SR2024B- Servomotor HG Series, Power 2 kW; Torque 9.5 Nm, Max. 28.6 Nm, Brake, 400V",,,,,,Power Supply,203 V,Power facility capacity 1[kVA],3.5,Rated Output Capacity,2 kW,Rated torque [Nm],9.5,Peak Running Range (Nm),28.6,Rated Rotation Speed (rpm),2003 RPM,Maximum Rotation Speed (rpm),3000 RPM,Rated Current,4.9 A,Maximum current [A],17,Regeneration braking frequency [1/min],47,,,1717147728-Product-Screenshot 2024-05-31 145840.png,,85012000,18%,,,,,176mm,228.9mm,267mm,17kg,1,1-2 Days,
"Mitsubishi HG-SR3524B- Servomotor HG Series, Power 3.5 kW; Torque 16.7 Nm, Max. 50 Nm, Brake, 400V",Mitsubishi Electric,Factory Automation,Servo System,Servo Motor,,HG-SR3524B,HG-SR,HG-SR3524B,153850,76925,Piece,Each,1,"Mitsubishi HG-SR3524B- Servomotor HG Series, Power 3.5 kW; Torque 16.7 Nm, Max. 50 Nm, Brake, 400V",,,,,,Power Supply,204 V,Power facility capacity 1[kVA],5.5,Rated Output Capacity,3.5 kW,Rated torque [Nm],16.7,Peak Running Range (Nm),50.1,Rated Rotation Speed (rpm),2004 RPM,Maximum Rotation Speed (rpm),3000 RPM,Rated Current,(7 A),Maximum current [A],27,Regeneration braking frequency [1/min],34,,,1717148538-Product-Screenshot 2024-05-31 151206.png,,85012000,18%,,,,,176mm,228.9mm,291mm,22kg,1,1-2 Days,
